Metric,Value
timing__unannotated_net__count__corner:max_ff_n40C_1v95,329
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,329
timing__unannotated_net_filtered__count,0
magic__drc_error__count,53
klayout__drc_error__count,20
magic__illegal_overlap__count,66
design__lvs_device_difference__count,0
design__lvs_net_difference__count,5
design__lvs_property_fail__count,0
design__lvs_error__count,167
design__lvs_unmatched_device__count,1
design__lvs_unmatched_net__count,160
design__lvs_unmatched_pin__count,1
